provincia,sector,periodo,total
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,8.5
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,6.8
"Balears, Illes",Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,4.2
Barcelona,Servicios,2025-10-01,74.2
Barcelona,Servicios,2025-07-01,73.8
Barcelona,Servicios,2025-04-01,74.0
Barcelona,Servicios,2025-01-01,74.6
Barcelona,Servicios,2024-10-01,74.8
Barcelona,Servicios,2024-07-01,74.7
Barcelona,Servicios,2024-04-01,73.8
Barcelona,Servicios,2024-01-01,75.0
Barcelona,Servicios,2023-10-01,74.4
Barcelona,Servicios,2023-07-01,74.2
Barcelona,Servicios,2023-04-01,74.9
Barcelona,Servicios,2023-01-01,73.5
Barcelona,Servicios,2022-10-01,72.9
Barcelona,Servicios,2022-07-01,73.0
Barcelona,Servicios,2022-04-01,72.1
Barcelona,Servicios,2022-01-01,72.9
Barcelona,Servicios,2021-10-01,73.1
Barcelona,Servicios,2021-07-01,71.2
Barcelona,Servicios,2021-04-01,70.8
Barcelona,Servicios,2021-01-01,71.8
Barcelona,Servicios,2020-10-01,72.0
Barcelona,Servicios,2020-07-01,71.9
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,4.0
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,4.2
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,3.9
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,4.5
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,3.5
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,4.2
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,4.5
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,4.7
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,4.9
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,4.2
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,4.3
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,5.3
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,5.2
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,4.8
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,4.8
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,5.6
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,5.8
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,6.6
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,7.9
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,6.2
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,6.2
Barcelona,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,5.7
Bizkaia,Servicios,2025-10-01,71.5
Bizkaia,Servicios,2025-07-01,71.9
Bizkaia,Servicios,2025-04-01,74.2
Bizkaia,Servicios,2025-01-01,74.9
Bizkaia,Servicios,2024-10-01,74.7
Bizkaia,Servicios,2024-07-01,76.0
Bizkaia,Servicios,2024-04-01,76.0
Bizkaia,Servicios,2024-01-01,74.9
Bizkaia,Servicios,2023-10-01,75.0
Bizkaia,Servicios,2023-07-01,75.6
Bizkaia,Servicios,2023-04-01,74.4
Bizkaia,Servicios,2023-01-01,72.1
Bizkaia,Servicios,2022-10-01,70.9
Bizkaia,Servicios,2022-07-01,73.1
Bizkaia,Servicios,2022-04-01,71.0
Bizkaia,Servicios,2022-01-01,69.3
Bizkaia,Servicios,2021-10-01,70.3
Bizkaia,Servicios,2021-07-01,69.6
Bizkaia,Servicios,2021-04-01,67.3
Bizkaia,Servicios,2021-01-01,68.0
Bizkaia,Servicios,2020-10-01,69.6
Bizkaia,Servicios,2020-07-01,71.5
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,4.3
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,3.7
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,3.6
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,4.1
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,5.1
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,4.6
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,5.1
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,5.0
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,4.0
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,4.3
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,4.5
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,5.7
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,5.5
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,5.3
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,5.3
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,5.9
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,6.4
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,5.6
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,6.8
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,6.6
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,6.5
Bizkaia,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,5.5
Burgos,Servicios,2025-10-01,60.5
Burgos,Servicios,2025-07-01,61.9
Burgos,Servicios,2025-04-01,63.9
Burgos,Servicios,2025-01-01,63.7
Burgos,Servicios,2024-10-01,61.7
Burgos,Servicios,2024-07-01,64.6
Burgos,Servicios,2024-04-01,63.1
Burgos,Servicios,2024-01-01,62.1
Burgos,Servicios,2023-10-01,62.0
Burgos,Servicios,2023-07-01,65.0
Burgos,Servicios,2023-04-01,63.4
Burgos,Servicios,2023-01-01,62.3
Burgos,Servicios,2022-10-01,62.2
Burgos,Servicios,2022-07-01,63.9
Burgos,Servicios,2022-04-01,62.5
Burgos,Servicios,2022-01-01,62.2
Burgos,Servicios,2021-10-01,61.2
Burgos,Servicios,2021-07-01,58.1
Burgos,Servicios,2021-04-01,58.5
Burgos,Servicios,2021-01-01,57.4
Burgos,Servicios,2020-10-01,60.2
Burgos,Servicios,2020-07-01,57.8
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,3.1
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,3.5
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,4.4
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,2.4
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,2.1
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,3.1
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,2.1
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,2.5
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,3.5
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,2.4
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,3.4
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,3.9
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,3.2
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,2.9
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,4.8
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,4.6
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,4.2
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,4.9
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,4.5
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,4.2
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,4.2
Burgos,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,5.5
Cáceres,Servicios,2025-10-01,69.7
Cáceres,Servicios,2025-07-01,67.2
Cáceres,Servicios,2025-04-01,68.3
Cáceres,Servicios,2025-01-01,68.3
Cáceres,Servicios,2024-10-01,67.4
Cáceres,Servicios,2024-07-01,67.5
Cáceres,Servicios,2024-04-01,67.6
Cáceres,Servicios,2024-01-01,68.8
Cáceres,Servicios,2023-10-01,68.2
Cáceres,Servicios,2023-07-01,65.6
Cáceres,Servicios,2023-04-01,65.3
Cáceres,Servicios,2023-01-01,64.9
Cáceres,Servicios,2022-10-01,66.8
Cáceres,Servicios,2022-07-01,67.7
Cáceres,Servicios,2022-04-01,66.8
Cáceres,Servicios,2022-01-01,66.6
Cáceres,Servicios,2021-10-01,65.3
Cáceres,Servicios,2021-07-01,65.3
Cáceres,Servicios,2021-04-01,62.8
Cáceres,Servicios,2021-01-01,63.1
Cáceres,Servicios,2020-10-01,64.3
Cáceres,Servicios,2020-07-01,64.5
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,6.2
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,7.0
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,7.3
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,6.4
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,6.8
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,5.8
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,6.1
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,5.5
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,5.2
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,5.5
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,5.7
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,7.9
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,6.6
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,5.9
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,6.8
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,7.1
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,7.4
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,6.7
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,8.5
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,11.0
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,9.6
Cáceres,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,8.5
Cádiz,Servicios,2025-10-01,70.9
Cádiz,Servicios,2025-07-01,70.3
Cádiz,Servicios,2025-04-01,69.9
Cádiz,Servicios,2025-01-01,70.3
Cádiz,Servicios,2024-10-01,70.5
Cádiz,Servicios,2024-07-01,71.3
Cádiz,Servicios,2024-04-01,68.6
Cádiz,Servicios,2024-01-01,67.6
Cádiz,Servicios,2023-10-01,70.3
Cádiz,Servicios,2023-07-01,72.4
Cádiz,Servicios,2023-04-01,71.8
Cádiz,Servicios,2023-01-01,69.9
Cádiz,Servicios,2022-10-01,71.7
Cádiz,Servicios,2022-07-01,71.8
Cádiz,Servicios,2022-04-01,69.6
Cádiz,Servicios,2022-01-01,67.4
Cádiz,Servicios,2021-10-01,68.5
Cádiz,Servicios,2021-07-01,68.7
Cádiz,Servicios,2021-04-01,66.3
Cádiz,Servicios,2021-01-01,66.2
Cádiz,Servicios,2020-10-01,68.0
Cádiz,Servicios,2020-07-01,69.1
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,9.2
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,10.1
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,9.2
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,9.4
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,11.3
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,11.3
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,12.7
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,12.2
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,12.0
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,11.1
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,10.7
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,11.2
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,10.8
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,11.5
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,12.5
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,14.3
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,13.7
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,14.0
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,17.1
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,14.8
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,12.0
Cádiz,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,10.6
Cantabria,Servicios,2025-10-01,71.1
Cantabria,Servicios,2025-07-01,71.8
Cantabria,Servicios,2025-04-01,72.1
Cantabria,Servicios,2025-01-01,71.5
Cantabria,Servicios,2024-10-01,72.2
Cantabria,Servicios,2024-07-01,70.6
Cantabria,Servicios,2024-04-01,71.2
Cantabria,Servicios,2024-01-01,72.4
Cantabria,Servicios,2023-10-01,71.1
Cantabria,Servicios,2023-07-01,70.9
Cantabria,Servicios,2023-04-01,71.9
Cantabria,Servicios,2023-01-01,70.6
Cantabria,Servicios,2022-10-01,69.1
Cantabria,Servicios,2022-07-01,70.2
Cantabria,Servicios,2022-04-01,69.8
Cantabria,Servicios,2022-01-01,69.6
Cantabria,Servicios,2021-10-01,70.1
Cantabria,Servicios,2021-07-01,71.2
Cantabria,Servicios,2021-04-01,67.3
Cantabria,Servicios,2021-01-01,68.4
Cantabria,Servicios,2020-10-01,69.1
Cantabria,Servicios,2020-07-01,69.3
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,2.8
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,3.2
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,3.2
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,2.9
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,3.6
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,4.1
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,3.9
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,3.4
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,3.5
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,4.0
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,3.5
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,4.0
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,4.9
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,4.3
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,3.7
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,4.9
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,5.1
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,5.7
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,6.4
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,4.1
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,4.9
Cantabria,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,4.4
Castellón/Castelló,Servicios,2025-10-01,65.2
Castellón/Castelló,Servicios,2025-07-01,66.2
Castellón/Castelló,Servicios,2025-04-01,63.0
Castellón/Castelló,Servicios,2025-01-01,64.6
Castellón/Castelló,Servicios,2024-10-01,64.3
Castellón/Castelló,Servicios,2024-07-01,64.5
Castellón/Castelló,Servicios,2024-04-01,65.6
Castellón/Castelló,Servicios,2024-01-01,63.1
Castellón/Castelló,Servicios,2023-10-01,66.2
Castellón/Castelló,Servicios,2023-07-01,66.4
Castellón/Castelló,Servicios,2023-04-01,68.8
Castellón/Castelló,Servicios,2023-01-01,66.5
Castellón/Castelló,Servicios,2022-10-01,68.0
Castellón/Castelló,Servicios,2022-07-01,68.3
Castellón/Castelló,Servicios,2022-04-01,67.5
Castellón/Castelló,Servicios,2022-01-01,63.8
Castellón/Castelló,Servicios,2021-10-01,64.3
Castellón/Castelló,Servicios,2021-07-01,63.7
Castellón/Castelló,Servicios,2021-04-01,60.6
Castellón/Castelló,Servicios,2021-01-01,61.6
Castellón/Castelló,Servicios,2020-10-01,61.0
Castellón/Castelló,Servicios,2020-07-01,61.9
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,4.2
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,3.9
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,5.2
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,4.8
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,4.9
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,4.5
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,4.8
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,6.7
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,6.4
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,7.3
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,5.7
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,6.4
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,4.3
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,4.3
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,5.2
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,5.3
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,5.8
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,6.2
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,7.7
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,7.6
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,8.1
Castellón/Castelló,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,7.8
Ciudad Real,Servicios,2025-10-01,64.3
Ciudad Real,Servicios,2025-07-01,61.2
Ciudad Real,Servicios,2025-04-01,61.8
Ciudad Real,Servicios,2025-01-01,60.7
Ciudad Real,Servicios,2024-10-01,64.9
Ciudad Real,Servicios,2024-07-01,63.4
Ciudad Real,Servicios,2024-04-01,64.6
Ciudad Real,Servicios,2024-01-01,63.6
Ciudad Real,Servicios,2023-10-01,62.3
Ciudad Real,Servicios,2023-07-01,63.1
Ciudad Real,Servicios,2023-04-01,62.7
Ciudad Real,Servicios,2023-01-01,61.8
Ciudad Real,Servicios,2022-10-01,58.7
Ciudad Real,Servicios,2022-07-01,60.1
Ciudad Real,Servicios,2022-04-01,60.9
Ciudad Real,Servicios,2022-01-01,59.8
Ciudad Real,Servicios,2021-10-01,60.9
Ciudad Real,Servicios,2021-07-01,60.7
Ciudad Real,Servicios,2021-04-01,57.4
Ciudad Real,Servicios,2021-01-01,58.0
Ciudad Real,Servicios,2020-10-01,60.3
Ciudad Real,Servicios,2020-07-01,59.7
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,6.8
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,8.5
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,8.4
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,8.6
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,8.4
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,8.5
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,8.4
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,8.1
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,8.3
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,7.7
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,7.4
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,9.3
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,11.3
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,11.1
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,10.4
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,10.8
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,9.7
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,9.2
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,11.8
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,11.3
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,9.0
Ciudad Real,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,9.7
Córdoba,Servicios,2025-10-01,64.5
Córdoba,Servicios,2025-07-01,63.6
Córdoba,Servicios,2025-04-01,65.9
Córdoba,Servicios,2025-01-01,63.2
Córdoba,Servicios,2024-10-01,63.6
Córdoba,Servicios,2024-07-01,66.2
Córdoba,Servicios,2024-04-01,66.3
Córdoba,Servicios,2024-01-01,65.5
Córdoba,Servicios,2023-10-01,66.3
Córdoba,Servicios,2023-07-01,67.3
Córdoba,Servicios,2023-04-01,64.2
Córdoba,Servicios,2023-01-01,64.5
Córdoba,Servicios,2022-10-01,63.0
Córdoba,Servicios,2022-07-01,60.9
Córdoba,Servicios,2022-04-01,61.1
Córdoba,Servicios,2022-01-01,61.0
Córdoba,Servicios,2021-10-01,61.1
Córdoba,Servicios,2021-07-01,62.7
Córdoba,Servicios,2021-04-01,59.9
Córdoba,Servicios,2021-01-01,57.7
Córdoba,Servicios,2020-10-01,57.0
Córdoba,Servicios,2020-07-01,61.6
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,7.6
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,8.1
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,6.4
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,8.6
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,8.0
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,7.3
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,8.3
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,5.9
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,7.7
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,6.7
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,8.9
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,8.9
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,9.1
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,11.7
Córdoba,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,10.3
