provincia,sector,periodo,total
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,8.4
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,6.5
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,8.5
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,8.1
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,10.7
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,10.9
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,7.4
Alicante/Alacant,Servicios,2025-10-01,68.5
Alicante/Alacant,Servicios,2025-07-01,68.7
Alicante/Alacant,Servicios,2025-04-01,67.7
Alicante/Alacant,Servicios,2025-01-01,69.5
Alicante/Alacant,Servicios,2024-10-01,71.1
Alicante/Alacant,Servicios,2024-07-01,69.7
Alicante/Alacant,Servicios,2024-04-01,70.6
Alicante/Alacant,Servicios,2024-01-01,70.4
Alicante/Alacant,Servicios,2023-10-01,69.9
Alicante/Alacant,Servicios,2023-07-01,71.0
Alicante/Alacant,Servicios,2023-04-01,70.4
Alicante/Alacant,Servicios,2023-01-01,68.2
Alicante/Alacant,Servicios,2022-10-01,67.0
Alicante/Alacant,Servicios,2022-07-01,68.1
Alicante/Alacant,Servicios,2022-04-01,67.3
Alicante/Alacant,Servicios,2022-01-01,68.1
Alicante/Alacant,Servicios,2021-10-01,68.2
Alicante/Alacant,Servicios,2021-07-01,69.2
Alicante/Alacant,Servicios,2021-04-01,67.8
Alicante/Alacant,Servicios,2021-01-01,69.0
Alicante/Alacant,Servicios,2020-10-01,69.4
Alicante/Alacant,Servicios,2020-07-01,71.6
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,5.5
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,6.6
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,7.3
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,7.0
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,6.2
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,6.7
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,6.6
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,6.1
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,6.7
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,5.6
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,6.0
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,7.5
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,8.0
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,7.6
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,8.8
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,8.5
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,10.6
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,11.1
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,13.2
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,10.5
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,9.8
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,8.9
Almería,Servicios,2025-10-01,64.7
Almería,Servicios,2025-07-01,61.5
Almería,Servicios,2025-04-01,61.3
Almería,Servicios,2025-01-01,64.0
Almería,Servicios,2024-10-01,66.5
Almería,Servicios,2024-07-01,63.6
Almería,Servicios,2024-04-01,61.6
Almería,Servicios,2024-01-01,62.4
Almería,Servicios,2023-10-01,60.6
Almería,Servicios,2023-07-01,62.7
Almería,Servicios,2023-04-01,59.5
Almería,Servicios,2023-01-01,59.1
Almería,Servicios,2022-10-01,56.5
Almería,Servicios,2022-07-01,57.8
Almería,Servicios,2022-04-01,60.7
Almería,Servicios,2022-01-01,57.8
Almería,Servicios,2021-10-01,57.1
Almería,Servicios,2021-07-01,55.2
Almería,Servicios,2021-04-01,55.7
Almería,Servicios,2021-01-01,51.7
Almería,Servicios,2020-10-01,54.2
Almería,Servicios,2020-07-01,56.8
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,5.0
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,7.1
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,6.0
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,6.8
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,5.3
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,6.0
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,5.7
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,6.6
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,7.0
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,6.6
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,6.2
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,6.9
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,10.2
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,9.0
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,6.8
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,7.2
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,7.3
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,9.6
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,11.6
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,9.8
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,11.5
Almería,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,9.4
Araba/Álava,Servicios,2025-10-01,63.7
Araba/Álava,Servicios,2025-07-01,66.7
Araba/Álava,Servicios,2025-04-01,66.1
Araba/Álava,Servicios,2025-01-01,67.6
Araba/Álava,Servicios,2024-10-01,62.5
Araba/Álava,Servicios,2024-07-01,62.1
Araba/Álava,Servicios,2024-04-01,63.2
Araba/Álava,Servicios,2024-01-01,63.2
Araba/Álava,Servicios,2023-10-01,60.7
Araba/Álava,Servicios,2023-07-01,62.0
Araba/Álava,Servicios,2023-04-01,62.8
Araba/Álava,Servicios,2023-01-01,62.4
Araba/Álava,Servicios,2022-10-01,61.8
Araba/Álava,Servicios,2022-07-01,66.8
Araba/Álava,Servicios,2022-04-01,65.4
Araba/Álava,Servicios,2022-01-01,64.8
Araba/Álava,Servicios,2021-10-01,63.2
Araba/Álava,Servicios,2021-07-01,62.3
Araba/Álava,Servicios,2021-04-01,65.0
Araba/Álava,Servicios,2021-01-01,63.1
Araba/Álava,Servicios,2020-10-01,65.8
Araba/Álava,Servicios,2020-07-01,65.7
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,3.9
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,3.9
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,3.5
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,3.6
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,3.3
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,4.7
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,4.0
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,4.8
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,3.3
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,4.7
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,4.2
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,4.3
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,3.4
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,3.9
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,5.7
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,5.9
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,6.5
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,7.9
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,5.8
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,8.2
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,4.0
Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,3.9
Asturias,Servicios,2025-10-01,74.5
Asturias,Servicios,2025-07-01,73.7
Asturias,Servicios,2025-04-01,73.2
Asturias,Servicios,2025-01-01,72.4
Asturias,Servicios,2024-10-01,71.3
Asturias,Servicios,2024-07-01,69.0
Asturias,Servicios,2024-04-01,68.8
Asturias,Servicios,2024-01-01,70.5
Asturias,Servicios,2023-10-01,70.6
Asturias,Servicios,2023-07-01,69.1
Asturias,Servicios,2023-04-01,71.6
Asturias,Servicios,2023-01-01,70.7
Asturias,Servicios,2022-10-01,70.0
Asturias,Servicios,2022-07-01,70.2
Asturias,Servicios,2022-04-01,70.7
Asturias,Servicios,2022-01-01,70.4
Asturias,Servicios,2021-10-01,71.5
Asturias,Servicios,2021-07-01,68.8
Asturias,Servicios,2021-04-01,69.0
Asturias,Servicios,2021-01-01,70.2
Asturias,Servicios,2020-10-01,70.8
Asturias,Servicios,2020-07-01,71.1
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,3.8
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,4.3
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,4.3
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,4.5
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,4.3
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,5.5
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,7.0
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,6.1
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,6.5
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,8.3
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,6.7
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,7.2
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,8.1
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,6.9
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,6.0
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,6.3
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,6.4
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,7.9
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,7.8
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,6.5
Asturias,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,6.7
