Provincias;Sector económico;Periodo;Total
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;6,8
07 Balears, Illes;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;4,2
08 Barcelona;Servicios;2025T4;74,2
08 Barcelona;Servicios;2025T3;73,8
08 Barcelona;Servicios;2025T2;74,0
08 Barcelona;Servicios;2025T1;74,6
08 Barcelona;Servicios;2024T4;74,8
08 Barcelona;Servicios;2024T3;74,7
08 Barcelona;Servicios;2024T2;73,8
08 Barcelona;Servicios;2024T1;75,0
08 Barcelona;Servicios;2023T4;74,4
08 Barcelona;Servicios;2023T3;74,2
08 Barcelona;Servicios;2023T2;74,9
08 Barcelona;Servicios;2023T1;73,5
08 Barcelona;Servicios;2022T4;72,9
08 Barcelona;Servicios;2022T3;73,0
08 Barcelona;Servicios;2022T2;72,1
08 Barcelona;Servicios;2022T1;72,9
08 Barcelona;Servicios;2021T4;73,1
08 Barcelona;Servicios;2021T3;71,2
08 Barcelona;Servicios;2021T2;70,8
08 Barcelona;Servicios;2021T1;71,8
08 Barcelona;Servicios;2020T4;72,0
08 Barcelona;Servicios;2020T3;71,9
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;4,0
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;4,2
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;3,9
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;4,5
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;3,5
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;4,2
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;4,5
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;4,7
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;4,9
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;4,2
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;4,3
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;5,3
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;5,2
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;4,8
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;4,8
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;5,6
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;5,8
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;6,6
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;7,9
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;6,2
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;6,2
08 Barcelona;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;5,7
48 Bizkaia;Servicios;2025T4;71,5
48 Bizkaia;Servicios;2025T3;71,9
48 Bizkaia;Servicios;2025T2;74,2
48 Bizkaia;Servicios;2025T1;74,9
48 Bizkaia;Servicios;2024T4;74,7
48 Bizkaia;Servicios;2024T3;76,0
48 Bizkaia;Servicios;2024T2;76,0
48 Bizkaia;Servicios;2024T1;74,9
48 Bizkaia;Servicios;2023T4;75,0
48 Bizkaia;Servicios;2023T3;75,6
48 Bizkaia;Servicios;2023T2;74,4
48 Bizkaia;Servicios;2023T1;72,1
48 Bizkaia;Servicios;2022T4;70,9
48 Bizkaia;Servicios;2022T3;73,1
48 Bizkaia;Servicios;2022T2;71,0
48 Bizkaia;Servicios;2022T1;69,3
48 Bizkaia;Servicios;2021T4;70,3
48 Bizkaia;Servicios;2021T3;69,6
48 Bizkaia;Servicios;2021T2;67,3
48 Bizkaia;Servicios;2021T1;68,0
48 Bizkaia;Servicios;2020T4;69,6
48 Bizkaia;Servicios;2020T3;71,5
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;4,3
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;3,7
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;3,6
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;4,1
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;5,1
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;4,6
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;5,1
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;5,0
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;4,0
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;4,3
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;4,5
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;5,7
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;5,5
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;5,3
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;5,3
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;5,9
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;6,4
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;5,6
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;6,8
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;6,6
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;6,5
48 Bizkaia;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;5,5
09 Burgos;Servicios;2025T4;60,5
09 Burgos;Servicios;2025T3;61,9
09 Burgos;Servicios;2025T2;63,9
09 Burgos;Servicios;2025T1;63,7
09 Burgos;Servicios;2024T4;61,7
09 Burgos;Servicios;2024T3;64,6
09 Burgos;Servicios;2024T2;63,1
09 Burgos;Servicios;2024T1;62,1
09 Burgos;Servicios;2023T4;62,0
09 Burgos;Servicios;2023T3;65,0
09 Burgos;Servicios;2023T2;63,4
09 Burgos;Servicios;2023T1;62,3
09 Burgos;Servicios;2022T4;62,2
09 Burgos;Servicios;2022T3;63,9
09 Burgos;Servicios;2022T2;62,5
09 Burgos;Servicios;2022T1;62,2
09 Burgos;Servicios;2021T4;61,2
09 Burgos;Servicios;2021T3;58,1
09 Burgos;Servicios;2021T2;58,5
09 Burgos;Servicios;2021T1;57,4
09 Burgos;Servicios;2020T4;60,2
09 Burgos;Servicios;2020T3;57,8
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;3,1
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;3,5
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;4,4
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;2,4
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;2,1
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;3,1
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;2,1
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;2,5
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;3,5
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;2,4
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;3,4
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;3,9
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;3,2
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;2,9
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;4,8
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;4,6
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;4,2
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;4,9
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;4,5
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;4,2
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;4,2
09 Burgos;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;5,5
10 Cáceres;Servicios;2025T4;69,7
10 Cáceres;Servicios;2025T3;67,2
10 Cáceres;Servicios;2025T2;68,3
10 Cáceres;Servicios;2025T1;68,3
10 Cáceres;Servicios;2024T4;67,4
10 Cáceres;Servicios;2024T3;67,5
10 Cáceres;Servicios;2024T2;67,6
10 Cáceres;Servicios;2024T1;68,8
10 Cáceres;Servicios;2023T4;68,2
10 Cáceres;Servicios;2023T3;65,6
10 Cáceres;Servicios;2023T2;65,3
10 Cáceres;Servicios;2023T1;64,9
10 Cáceres;Servicios;2022T4;66,8
10 Cáceres;Servicios;2022T3;67,7
10 Cáceres;Servicios;2022T2;66,8
10 Cáceres;Servicios;2022T1;66,6
10 Cáceres;Servicios;2021T4;65,3
10 Cáceres;Servicios;2021T3;65,3
10 Cáceres;Servicios;2021T2;62,8
10 Cáceres;Servicios;2021T1;63,1
10 Cáceres;Servicios;2020T4;64,3
10 Cáceres;Servicios;2020T3;64,5
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;6,2
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;7,0
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;7,3
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;6,4
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;6,8
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;5,8
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;6,1
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;5,5
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;5,2
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;5,5
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;5,7
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;7,9
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;6,6
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;5,9
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;6,8
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;7,1
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;7,4
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;6,7
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,5
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;11,0
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;9,6
10 Cáceres;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;8,5
11 Cádiz;Servicios;2025T4;70,9
11 Cádiz;Servicios;2025T3;70,3
11 Cádiz;Servicios;2025T2;69,9
11 Cádiz;Servicios;2025T1;70,3
11 Cádiz;Servicios;2024T4;70,5
11 Cádiz;Servicios;2024T3;71,3
11 Cádiz;Servicios;2024T2;68,6
11 Cádiz;Servicios;2024T1;67,6
11 Cádiz;Servicios;2023T4;70,3
11 Cádiz;Servicios;2023T3;72,4
11 Cádiz;Servicios;2023T2;71,8
11 Cádiz;Servicios;2023T1;69,9
11 Cádiz;Servicios;2022T4;71,7
11 Cádiz;Servicios;2022T3;71,8
11 Cádiz;Servicios;2022T2;69,6
11 Cádiz;Servicios;2022T1;67,4
11 Cádiz;Servicios;2021T4;68,5
11 Cádiz;Servicios;2021T3;68,7
11 Cádiz;Servicios;2021T2;66,3
11 Cádiz;Servicios;2021T1;66,2
11 Cádiz;Servicios;2020T4;68,0
11 Cádiz;Servicios;2020T3;69,1
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;9,2
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;10,1
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;9,2
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;9,4
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;11,3
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;11,3
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;12,7
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;12,2
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;12,0
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;11,1
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;10,7
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;11,2
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;10,8
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;11,5
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;12,5
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;14,3
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;13,7
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;14,0
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;17,1
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;14,8
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;12,0
11 Cádiz;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;10,6
39 Cantabria;Servicios;2025T4;71,1
39 Cantabria;Servicios;2025T3;71,8
39 Cantabria;Servicios;2025T2;72,1
39 Cantabria;Servicios;2025T1;71,5
39 Cantabria;Servicios;2024T4;72,2
39 Cantabria;Servicios;2024T3;70,6
39 Cantabria;Servicios;2024T2;71,2
39 Cantabria;Servicios;2024T1;72,4
39 Cantabria;Servicios;2023T4;71,1
39 Cantabria;Servicios;2023T3;70,9
39 Cantabria;Servicios;2023T2;71,9
39 Cantabria;Servicios;2023T1;70,6
39 Cantabria;Servicios;2022T4;69,1
39 Cantabria;Servicios;2022T3;70,2
39 Cantabria;Servicios;2022T2;69,8
39 Cantabria;Servicios;2022T1;69,6
39 Cantabria;Servicios;2021T4;70,1
39 Cantabria;Servicios;2021T3;71,2
39 Cantabria;Servicios;2021T2;67,3
39 Cantabria;Servicios;2021T1;68,4
39 Cantabria;Servicios;2020T4;69,1
39 Cantabria;Servicios;2020T3;69,3
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;2,8
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;3,2
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;3,2
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;2,9
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;3,6
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;4,1
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;3,9
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;3,4
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;3,5
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;4,0
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;3,5
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;4,0
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;4,9
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;4,3
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;3,7
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;4,9
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;5,1
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;5,7
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;6,4
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;4,1
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;4,9
39 Cantabria;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;4,4
12 Castellón/Castelló;Servicios;2025T4;65,2
12 Castellón/Castelló;Servicios;2025T3;66,2
12 Castellón/Castelló;Servicios;2025T2;63,0
12 Castellón/Castelló;Servicios;2025T1;64,6
12 Castellón/Castelló;Servicios;2024T4;64,3
12 Castellón/Castelló;Servicios;2024T3;64,5
12 Castellón/Castelló;Servicios;2024T2;65,6
12 Castellón/Castelló;Servicios;2024T1;63,1
12 Castellón/Castelló;Servicios;2023T4;66,2
12 Castellón/Castelló;Servicios;2023T3;66,4
12 Castellón/Castelló;Servicios;2023T2;68,8
12 Castellón/Castelló;Servicios;2023T1;66,5
12 Castellón/Castelló;Servicios;2022T4;68,0
12 Castellón/Castelló;Servicios;2022T3;68,3
12 Castellón/Castelló;Servicios;2022T2;67,5
12 Castellón/Castelló;Servicios;2022T1;63,8
12 Castellón/Castelló;Servicios;2021T4;64,3
12 Castellón/Castelló;Servicios;2021T3;63,7
12 Castellón/Castelló;Servicios;2021T2;60,6
12 Castellón/Castelló;Servicios;2021T1;61,6
12 Castellón/Castelló;Servicios;2020T4;61,0
12 Castellón/Castelló;Servicios;2020T3;61,9
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;4,2
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;3,9
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;5,2
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;4,8
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;4,9
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;4,5
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;4,8
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;6,7
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;6,4
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;7,3
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;5,7
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;6,4
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;4,3
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;4,3
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;5,2
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;5,3
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;5,8
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;6,2
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;7,7
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;7,6
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;8,1
12 Castellón/Castelló;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;7,8
13 Ciudad Real;Servicios;2025T4;64,3
13 Ciudad Real;Servicios;2025T3;61,2
13 Ciudad Real;Servicios;2025T2;61,8
13 Ciudad Real;Servicios;2025T1;60,7
13 Ciudad Real;Servicios;2024T4;64,9
13 Ciudad Real;Servicios;2024T3;63,4
13 Ciudad Real;Servicios;2024T2;64,6
13 Ciudad Real;Servicios;2024T1;63,6
13 Ciudad Real;Servicios;2023T4;62,3
13 Ciudad Real;Servicios;2023T3;63,1
13 Ciudad Real;Servicios;2023T2;62,7
13 Ciudad Real;Servicios;2023T1;61,8
13 Ciudad Real;Servicios;2022T4;58,7
13 Ciudad Real;Servicios;2022T3;60,1
13 Ciudad Real;Servicios;2022T2;60,9
13 Ciudad Real;Servicios;2022T1;59,8
13 Ciudad Real;Servicios;2021T4;60,9
13 Ciudad Real;Servicios;2021T3;60,7
13 Ciudad Real;Servicios;2021T2;57,4
13 Ciudad Real;Servicios;2021T1;58,0
13 Ciudad Real;Servicios;2020T4;60,3
13 Ciudad Real;Servicios;2020T3;59,7
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;6,8
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;8,5
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;8,4
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;8,6
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;8,4
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;8,5
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;8,4
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;8,1
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;8,3
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;7,7
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;7,4
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;9,3
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;11,3
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;11,1
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;10,4
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;10,8
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;9,7
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;9,2
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;11,8
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;11,3
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;9,0
13 Ciudad Real;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;9,7
14 Córdoba;Servicios;2025T4;64,5
14 Córdoba;Servicios;2025T3;63,6
14 Córdoba;Servicios;2025T2;65,9
14 Córdoba;Servicios;2025T1;63,2
14 Córdoba;Servicios;2024T4;63,6
14 Córdoba;Servicios;2024T3;66,2
14 Córdoba;Servicios;2024T2;66,3
14 Córdoba;Servicios;2024T1;65,5
14 Córdoba;Servicios;2023T4;66,3
14 Córdoba;Servicios;2023T3;67,3
14 Córdoba;Servicios;2023T2;64,2
14 Córdoba;Servicios;2023T1;64,5
14 Córdoba;Servicios;2022T4;63,0
14 Córdoba;Servicios;2022T3;60,9
14 Córdoba;Servicios;2022T2;61,1
14 Córdoba;Servicios;2022T1;61,0
14 Córdoba;Servicios;2021T4;61,1
14 Córdoba;Servicios;2021T3;62,7
14 Córdoba;Servicios;2021T2;59,9
14 Córdoba;Servicios;2021T1;57,7
14 Córdoba;Servicios;2020T4;57,0
14 Córdoba;Servicios;2020T3;61,6
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;7,6
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;8,1
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;6,4
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;8,6
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;8,0
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;7,3
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;8,3
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;5,9
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;7,7
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;6,7
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;8,9
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;8,9
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;9,1
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;11,7
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;10,3
14 Córdoba;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;8,8
