Provincias;Sector económico;Periodo;Total
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;8,5
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,1
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;10,7
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;10,9
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;7,4
03 Alicante/Alacant;Servicios;2025T4;68,5
03 Alicante/Alacant;Servicios;2025T3;68,7
03 Alicante/Alacant;Servicios;2025T2;67,7
03 Alicante/Alacant;Servicios;2025T1;69,5
03 Alicante/Alacant;Servicios;2024T4;71,1
03 Alicante/Alacant;Servicios;2024T3;69,7
03 Alicante/Alacant;Servicios;2024T2;70,6
03 Alicante/Alacant;Servicios;2024T1;70,4
03 Alicante/Alacant;Servicios;2023T4;69,9
03 Alicante/Alacant;Servicios;2023T3;71,0
03 Alicante/Alacant;Servicios;2023T2;70,4
03 Alicante/Alacant;Servicios;2023T1;68,2
03 Alicante/Alacant;Servicios;2022T4;67,0
03 Alicante/Alacant;Servicios;2022T3;68,1
03 Alicante/Alacant;Servicios;2022T2;67,3
03 Alicante/Alacant;Servicios;2022T1;68,1
03 Alicante/Alacant;Servicios;2021T4;68,2
03 Alicante/Alacant;Servicios;2021T3;69,2
03 Alicante/Alacant;Servicios;2021T2;67,8
03 Alicante/Alacant;Servicios;2021T1;69,0
03 Alicante/Alacant;Servicios;2020T4;69,4
03 Alicante/Alacant;Servicios;2020T3;71,6
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;5,5
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;6,6
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;7,3
03 Alicante/Alacant;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;7,0
