Operación	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M12	1.196.892
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M11	1.306.347
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M10	1.903.645
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M09	2.055.612
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M08	2.287.040
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M07	2.118.987
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M06	2.052.030
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M05	2.026.477
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M04	1.847.225
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M03	1.370.955
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M02	1.210.103
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2025M01	995.404
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M12	1.108.517
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M11	1.269.391
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M10	1.835.740
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M09	2.013.198
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M08	2.208.915
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M07	2.010.321
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M06	2.011.395
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M05	2.085.222
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M04	1.853.668
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M03	1.595.826
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M02	1.258.294
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2024M01	1.041.007
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M12	1.170.078
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M11	1.239.122
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M10	1.873.526
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M09	2.025.500
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M08	2.267.920
Encuesta de Ocupación Hotelera	Total Nacional	01 Andalucía	Total		Viajero	2023M07	2.114.842
